actor_id,film_id,first_name,last_name,last_update
1,1,PENELOPE,GUINESS,15/02/2006 04:34
1,23,PENELOPE,GUINESS,15/02/2006 04:34
1,25,PENELOPE,GUINESS,15/02/2006 04:34
1,106,PENELOPE,GUINESS,15/02/2006 04:34
1,140,PENELOPE,GUINESS,15/02/2006 04:34
1,166,PENELOPE,GUINESS,15/02/2006 04:34
1,277,PENELOPE,GUINESS,15/02/2006 04:34
1,361,PENELOPE,GUINESS,15/02/2006 04:34
1,438,PENELOPE,GUINESS,15/02/2006 04:34
1,499,PENELOPE,GUINESS,15/02/2006 04:34
1,506,PENELOPE,GUINESS,15/02/2006 04:34
1,509,PENELOPE,GUINESS,15/02/2006 04:34
1,605,PENELOPE,GUINESS,15/02/2006 04:34
1,635,PENELOPE,GUINESS,15/02/2006 04:34
1,749,PENELOPE,GUINESS,15/02/2006 04:34
1,832,PENELOPE,GUINESS,15/02/2006 04:34
1,939,PENELOPE,GUINESS,15/02/2006 04:34
1,970,PENELOPE,GUINESS,15/02/2006 04:34
1,980,PENELOPE,GUINESS,15/02/2006 04:34
2,3,NICK,WAHLBERG,15/02/2006 04:34
2,31,NICK,WAHLBERG,15/02/2006 04:34
2,47,NICK,WAHLBERG,15/02/2006 04:34
2,105,NICK,WAHLBERG,15/02/2006 04:34
2,132,NICK,WAHLBERG,15/02/2006 04:34
2,145,NICK,WAHLBERG,15/02/2006 04:34
2,226,NICK,WAHLBERG,15/02/2006 04:34
2,249,NICK,WAHLBERG,15/02/2006 04:34
2,314,NICK,WAHLBERG,15/02/2006 04:34
2,321,NICK,WAHLBERG,15/02/2006 04:34
2,357,NICK,WAHLBERG,15/02/2006 04:34
2,369,NICK,WAHLBERG,15/02/2006 04:34
2,399,NICK,WAHLBERG,15/02/2006 04:34
2,458,NICK,WAHLBERG,15/02/2006 04:34
2,481,NICK,WAHLBERG,15/02/2006 04:34
2,485,NICK,WAHLBERG,15/02/2006 04:34
2,518,NICK,WAHLBERG,15/02/2006 04:34
2,540,NICK,WAHLBERG,15/02/2006 04:34
2,550,NICK,WAHLBERG,15/02/2006 04:34
2,555,NICK,WAHLBERG,15/02/2006 04:34
2,561,NICK,WAHLBERG,15/02/2006 04:34
2,742,NICK,WAHLBERG,15/02/2006 04:34
2,754,NICK,WAHLBERG,15/02/2006 04:34
2,811,NICK,WAHLBERG,15/02/2006 04:34
2,958,NICK,WAHLBERG,15/02/2006 04:34
3,17,ED,CHASE,15/02/2006 04:34
3,40,ED,CHASE,15/02/2006 04:34
3,42,ED,CHASE,15/02/2006 04:34
3,87,ED,CHASE,15/02/2006 04:34
3,111,ED,CHASE,15/02/2006 04:34
3,185,ED,CHASE,15/02/2006 04:34
3,289,ED,CHASE,15/02/2006 04:34
3,329,ED,CHASE,15/02/2006 04:34
3,336,ED,CHASE,15/02/2006 04:34
3,341,ED,CHASE,15/02/2006 04:34
3,393,ED,CHASE,15/02/2006 04:34
3,441,ED,CHASE,15/02/2006 04:34
3,453,ED,CHASE,15/02/2006 04:34
3,480,ED,CHASE,15/02/2006 04:34
3,539,ED,CHASE,15/02/2006 04:34
3,618,ED,CHASE,15/02/2006 04:34
3,685,ED,CHASE,15/02/2006 04:34
3,827,ED,CHASE,15/02/2006 04:34
3,966,ED,CHASE,15/02/2006 04:34
3,967,ED,CHASE,15/02/2006 04:34
3,971,ED,CHASE,15/02/2006 04:34
3,996,ED,CHASE,15/02/2006 04:34
4,23,JENNIFER,DAVIS,15/02/2006 04:34
4,25,JENNIFER,DAVIS,15/02/2006 04:34
4,56,JENNIFER,DAVIS,15/02/2006 04:34
4,62,JENNIFER,DAVIS,15/02/2006 04:34
4,79,JENNIFER,DAVIS,15/02/2006 04:34
4,87,JENNIFER,DAVIS,15/02/2006 04:34
4,355,JENNIFER,DAVIS,15/02/2006 04:34
4,379,JENNIFER,DAVIS,15/02/2006 04:34
4,398,JENNIFER,DAVIS,15/02/2006 04:34
4,463,JENNIFER,DAVIS,15/02/2006 04:34
4,490,JENNIFER,DAVIS,15/02/2006 04:34
4,616,JENNIFER,DAVIS,15/02/2006 04:34
4,635,JENNIFER,DAVIS,15/02/2006 04:34
4,691,JENNIFER,DAVIS,15/02/2006 04:34
4,712,JENNIFER,DAVIS,15/02/2006 04:34
4,714,JENNIFER,DAVIS,15/02/2006 04:34
4,721,JENNIFER,DAVIS,15/02/2006 04:34
4,798,JENNIFER,DAVIS,15/02/2006 04:34
4,832,JENNIFER,DAVIS,15/02/2006 04:34
4,858,JENNIFER,DAVIS,15/02/2006 04:34
4,909,JENNIFER,DAVIS,15/02/2006 04:34
4,924,JENNIFER,DAVIS,15/02/2006 04:34
5,19,JOHNNY,LOLLOBRIGIDA,15/02/2006 04:34
5,54,JOHNNY,LOLLOBRIGIDA,15/02/2006 04:34
5,85,JOHNNY,LOLLOBRIGIDA,15/02/2006 04:34
5,146,JOHNNY,LOLLOBRIGIDA,15/02/2006 04:34
5,171,JOHNNY,LOLLOBRIGIDA,15/02/2006 04:34
5,172,JOHNNY,LOLLOBRIGIDA,15/02/2006 04:34
5,202,JOHNNY,LOLLOBRIGIDA,15/02/2006 04:34
5,203,JOHNNY,LOLLOBRIGIDA,15/02/2006 04:34
5,286,JOHNNY,LOLLOBRIGIDA,15/02/2006 04:34
5,288,JOHNNY,LOLLOBRIGIDA,15/02/2006 04:34
5,316,JOHNNY,LOLLOBRIGIDA,15/02/2006 04:34
